ax,ay,az
-0.03,0.05,0.88
-0.03,-0.22,1.19
-0.02,0.06,1.16
-0.10,0.19,1.04
0.03,-0.18,1.13
0.04,0.03,1.04
0.04,-0.04,1.00
-0.04,-0.13,1.04
0.01,0.09,1.11
-0.02,0.07,1.07
-0.06,-0.01,0.98
0.03,0.04,1.07
0.01,0.02,0.98
-0.04,-0.12,0.95
0.02,0.00,1.20
-0.08,0.01,0.93
-0.09,-0.09,0.95
0.04,0.08,1.21
-0.03,-0.03,1.03
0.04,-0.08,0.97
-0.08,0.01,0.92
-0.08,-0.06,1.14
0.03,0.04,1.21
-0.02,0.01,1.01
0.01,-0.07,1.09
-0.04,0.03,1.02
-0.07,-0.16,1.13
0.00,0.04,1.20
-0.04,0.01,0.83
-0.02,-0.08,0.94
-0.05,0.09,1.18
-0.09,-0.19,1.08
-0.00,0.05,1.09
-0.03,0.18,0.89
0.01,-0.24,1.27
0.05,0.15,1.21
-0.03,0.04,0.92
0.01,-0.19,1.15
-0.06,0.05,0.99
-0.03,-0.01,1.10
-0.04,-0.11,1.16
-0.07,0.13,1.02
-0.07,-0.13,1.01
-0.05,-0.06,1.06
-0.02,-0.05,1.17
-0.03,-0.01,1.11
-0.09,0.05,1.02
0.02,-0.16,1.27
0.02,0.01,1.06
0.00,-0.10,0.98
0.03,-0.26,0.98
-0.01,0.06,1.00
-0.04,-0.09,1.16
-0.04,-0.05,0.97
-0.02,0.23,1.00
0.07,-0.19,1.13
0.02,-0.12,1.00
-0.01,0.03,1.17
-0.10,-0.26,1.00
-0.07,0.32,1.03
0.02,0.05,1.13
0.05,-0.28,1.11
-0.05,0.06,0.82
-0.04,-0.28,1.01
0.01,-0.26,1.14
-0.07,0.28,1.10
-0.02,-0.00,1.02
-0.05,-0.05,0.95
0.05,0.10,1.03
0.09,-0.15,1.14
-0.05,-0.29,1.01
-0.05,-0.13,1.04
-0.02,0.09,1.14
-0.05,-0.05,1.09
-0.01,0.07,1.22
-0.05,0.07,0.88
0.06,-0.34,1.16
0.06,-0.15,1.18
-0.00,0.18,1.05
-0.00,-0.13,1.11
-0.06,0.12,1.10
0.01,0.11,1.12
-0.04,-0.38,1.06
-0.11,0.11,1.09
0.00,-0.02,1.29
-0.10,-0.27,0.99
-0.03,0.17,1.09
0.03,0.09,1.37
-0.10,-0.19,0.97
0.02,0.11,1.11
0.05,0.04,1.13
-0.09,-0.31,0.99
0.05,0.09,1.24
-0.00,0.02,0.96
-0.04,-0.20,1.03
-0.01,0.07,1.10
-0.05,0.04,1.24
0.01,-0.24,1.16
-0.07,0.04,1.00
0.00,0.10,1.05
0.06,-0.14,1.34
-0.05,-0.10,0.98
-0.00,0.16,1.06
0.02,0.07,1.07
-0.02,-0.31,1.11
-0.02,0.19,1.15
-0.16,-0.01,0.98
-0.04,-0.32,1.11
-0.04,0.23,1.01
-0.13,-0.03,1.01
-0.02,-0.31,1.12
-0.05,0.27,1.05
-0.05,-0.20,1.11
-0.03,-0.04,1.03
-0.05,0.12,1.07
-0.01,-0.15,1.20
-0.03,0.07,0.94
0.02,0.01,1.12
-0.01,-0.09,1.14
-0.11,0.02,0.97
-0.02,-0.08,1.14
-0.07,-0.08,1.07
0.01,-0.02,1.04
-0.04,-0.04,1.18
-0.05,0.10,1.16
-0.07,-0.00,1.09
0.01,0.16,1.13
-0.02,-0.09,1.05
-0.10,-0.39,1.03
-0.08,0.13,1.02
-0.01,-0.02,1.24
-0.08,0.02,1.10
-0.05,0.28,0.94
0.01,-0.27,1.21
-0.07,-0.15,1.21
-0.06,0.19,1.16
-0.03,-0.19,1.06
0.02,0.21,1.13
0.10,0.24,1.19
0.02,-0.30,1.19
-0.08,-0.11,1.01
-0.00,-0.21,1.07
0.01,-0.13,1.13
0.01,0.10,1.03
-0.00,0.11,1.16
0.01,0.16,0.97
0.00,0.03,1.06
0.04,-0.18,1.12
-0.06,-0.11,1.09
-0.06,-0.23,1.03
0.01,0.08,1.21
0.00,0.07,1.09
-0.03,-0.03,1.11
-0.11,0.06,0.92
0.00,-0.19,1.23
-0.10,-0.14,0.99
-0.08,0.21,1.07
0.04,-0.03,1.31
-0.06,0.07,0.98
0.07,0.14,1.12
0.07,-0.20,1.11
-0.05,-0.12,0.85
0.08,0.08,1.27
-0.07,-0.25,1.01
-0.08,0.04,0.98
0.05,0.16,1.14
-0.07,-0.15,0.97
0.01,-0.03,1.13
0.03,0.17,0.95
-0.03,-0.20,0.98
0.12,-0.01,1.34
-0.09,0.08,0.93
0.00,-0.19,1.11
0.06,-0.02,1.19
0.04,-0.01,1.08
0.01,-0.04,1.09
-0.08,-0.06,0.92
0.04,0.15,1.10
0.09,0.06,1.06
-0.04,-0.18,0.95
0.00,0.03,1.13
-0.06,0.12,0.99
-0.03,-0.30,1.10
-0.01,0.17,1.13
-0.12,-0.11,0.86
-0.01,-0.18,1.15
-0.08,0.14,0.93
0.01,-0.11,1.23
-0.01,-0.18,1.00
-0.08,0.22,0.97
0.12,-0.22,1.33
-0.05,0.02,0.99
0.01,0.17,1.00
0.06,-0.18,1.29
-0.08,0.05,0.83
0.05,0.16,1.12
0.03,-0.16,1.20
-0.06,-0.07,1.00
-0.07,-0.17,1.00
-0.02,-0.13,1.04
0.02,-0.03,1.16
-0.05,0.11,0.99
0.00,0.25,1.08
0.08,-0.17,1.20
0.03,-0.01,1.06
-0.01,-0.16,1.15
-0.06,-0.46,1.03
-0.05,0.38,1.00
0.03,0.13,1.20
-0.12,-0.20,1.01
-0.07,0.14,1.07
0.02,-0.34,1.16
0.01,-0.26,0.99
0.02,0.23,1.11
-0.00,-0.10,1.13
-0.03,0.09,0.96
